"character","category"
"Stan Marsh (South Park)","Desenhos"
"Star Butterfly (Star vs. the Forces of Evil)","Desenhos"
"Steven Universe (Steven Universe)","Desenhos"
"Stewie Griffin (Family Guy)","Desenhos"
"Tai (Digimon)","Desenhos"
"Tanjiro Kamado (Demon Slayer)","Desenhos"
"Taz (Looney Tunes)","Desenhos"
"Timão (Timão e Pumba)","Desenhos"
"Timmy Turner (The Fairly OddParents)","Desenhos"
"Tio Patinhas (Disney)","Desenhos"
"Tom (Tom and Jerry)","Desenhos"
"Vaca (A Vaca e o Frango)","Desenhos"
"Vegeta (Dragon Ball Z)","Desenhos"
"Velma Dinkley (Scooby-Doo)","Desenhos"
"Wanda (The Fairly OddParents)","Desenhos"
"Winnie the Pooh","Desenhos"
"Yugi (Yu-Gi-Oh)","Desenhos"
"Zuko (Avatar: The Last Airbender)","Desenhos"
"Abel Ferreira (futebol)","Esportes"
"Adriano Imperador (futebol)","Esportes"
"Ana Moser (vôlei)","Esportes"
"Anderson Silva","Esportes"
"Anderson Silva (MMA)","Esportes"
"Ayrton Senna","Esportes"
"Ayrton Senna (F1)","Esportes"
"Bob Burnquist (skatista)","Esportes"
"Carlo Ancelotti (futebol)","Esportes"
"Conor McGregor (MMA)","Esportes"
"Craque Neto (futebol)","Esportes"
"David Beckham (futebol)","Esportes"
"Diego Maradona (futebol)","Esportes"
"Emiliano ""Dibu"" Martínez (futebol)","Esportes"
"Erling Haaland (futebol)","Esportes"
"Floyd Mayweather Jr. (boxe)","Esportes"
"Garry Kasparov (Chess)","Esportes"
"Gerard Piqué (futebol)","Esportes"
"Giba (vôlei)","Esportes"
"Harry Houdini (mágico)","Esportes"
"Harry Maguire (futebol)","Esportes"
"Hortência (basquete)","Esportes"
"Jorge Jesus (futebol)","Esportes"
"José Mourinho","Esportes"
"Kevin De Bruyne (futebol)","Esportes"
"Kylian Mbappé (futebol)","Esportes"
"LeBron James (basquete)","Esportes"
"Lewis Hamilton (F1)","Esportes"
"Lionel Messi (futebol)","Esportes"
"Luis Suárez (futebol)","Esportes"
"Magnus Carlsen (xadrez)","Esportes"
"Michael Jordan","Esportes"
"Michael Jordan (basquete)","Esportes"
"Mike Tyson (boxe)","Esportes"
"Muhammad Ali (boxe)","Esportes"
"Neymar Jr (futebol)","Esportes"
"Novak Djokovic (tênis)","Esportes"
"Oscar (basquete)","Esportes"
"Paulo Muzy (bodybuilding)","Esportes"
"Pelé (futebol)","Esportes"
"Pep Guardiola (futebol)","Esportes"
"Rafael Nadal","Esportes"
"Rafael Nadal (tênis)","Esportes"
"Roger Federer (tênis)","Esportes"
"Ronaldinho (futebol)","Esportes"
"Ronaldo (futebol)","Esportes"
"Ronda Rousey","Esportes"
"Ronda Rousey (MMA)","Esportes"
"Serena Williams (tênis)","Esportes"
"Sergio Ramos (futebol)","Esportes"
"Simone Biles (ginástica)","Esportes"
"Taffarel (futebol)","Esportes"
"Tiger Woods (golfe)","Esportes"
"Tony Hawk (skate)","Esportes"
"Usain Bolt","Esportes"
"Usain Bolt (atletismo)","Esportes"
"Vanderlei Luxemburgo","Esportes"
"Vinícius Júnior (futebol)","Esportes"
"Zinédine Zidane (futebol)","Esportes"
"Ace Ventura","Filmes"
"Albus Dumbledore (Harry Potter)","Filmes"
"Amber Freeman (Scream)","Filmes"
"Amélie Poulain (Amélie)","Filmes"
"Amy Elliott Dunne (Gone Girl)","Filmes"
"Aquiles","Filmes"
"Aragorn (Senhor dos Anéis)","Filmes"
"Aragorn (The Lord of the Rings)","Filmes"
"Borat","Filmes"
"Captain Jack Sparrow (Pirates of the Caribbean)","Filmes"
"Coraline Jones (Coraline)","Filmes"
"Daniel LaRusso (The Karate Kid)","Filmes"
"Darth Vader (Star Wars)","Filmes"
"Doc Brown (Back to the Future)","Filmes"
"Don Corleone","Filmes"
"Don Quixote","Filmes"
"Dorothy (Wizard of Oz)","Filmes"
"Dr. Doolittle","Filmes"
"Dr. Randall Mindy (Don’t Look Up)","Filmes"
"Draco Malfoy (Harry Potter)","Filmes"
"Drácula","Filmes"
"E.T. (E.T.)","Filmes"
"Edward Cullen (Twilight)","Filmes"
"Edward Cullen (Twilight)","Filmes"
"Edward Scissorhands (Edward Scissorhands)","Filmes"
"Elizabeth Bennet (Pride and Prejudice)","Filmes"
"Elle Woods (Legally Blonde)","Filmes"
"Ellen Ripley (Alien)","Filmes"
"Enola Holmes (Enola Holmes)","Filmes"
"Ferris Bueller","Filmes"
"Forrest Gump","Filmes"
"Forrest Gump","Filmes"
"Forrest Gump (Forrest Gump)","Filmes"
"Frankestein","Filmes"
"Freddy Krueger","Filmes"
"Frodo (Senhor dos Anéis)","Filmes"
"Galadriel (The Lord of the Rings)","Filmes"
"Gandalf (Senhor dos Anéis)","Filmes"
"Gandalf the Grey (The Lord of the Rings)","Filmes"
"Ghostface (Scream)","Filmes"
"Gollum (Senhor dos Anéis)","Filmes"
"Hagrid (Harry Potter)","Filmes"
"Han Solo (Star Wars)","Filmes"
"Hannibal Lecter (The Silence of the Lambs)","Filmes"
